List of functions that can be called by name:

3df60 FA_SetAdapterProperty
3df7c FA_GetAdapterProperty
3df98 FA_GetAdapterFGInfo
7921c FA_SetReleaseModeForSR
88c74 FA_CreateTestImage
88f40 FA_DeleteTestImage
8949c FA_SetReleaseModeForSR
894ec FA_GetCrawBuf
894fc FA_GetShootingParam
89720 FA_SetNormalizedRGB
897bc FA_StartLiveView
899e0 FA_StopLiveView
89a04 FA_ClearReleaseModeForSR
89df4 FA_CopyAVoltageBoardInf
89e34 FA_CopyVideoBoardInf
8a0fc FA_CopySecurityBoardInf
8a178 FA_CopyVistaUniqueID
8a4a0 FA_SetProjectionMode
91c50 FA_SaveProperty
a2234 FA_RemoteRelease
a2248 FA_FinishRemoteRelease
a2260 FA_GetRemoteReleasePlusImage
a2280 FA_GetViewFinderData
a2298 FA_EndViewFinderData
a22b0 FA_PCLVStart
a22c4 FA_PCLVEnd
1cecb4 FA_GetPropertyAddress
1cef98 FA_SaveProperty
1cf2dc FA_LoadProperty
1cf35c FA_DeleteProperty
1cf898 FA_SetObIntegMode
1cffec FA_DetectDefTestImage
1d036c FA_GetObInteg
1d03a4 FA_ProjectionTestImage
1d03f0 FA_ProjectionTestImageV
1d0a4c FA_SaveProperty
1d1188 FA_CreateTestImage
1d119c FA_CaptureTestImage
1d11b0 FA_GetCrawBuf
1d11c0 FA_SetCRawBitNum
1d11d4 FA_DefectsTestImage
1d11e8 FA_SetObIntegMode
1d11fc FA_SetProjectionMode
1d1214 FA_SetChannelNum
1d1228 FA_SetDarkLevelValue
1d1248 FA_SetProjectionWindow
1d1264 FA_SetHProjectionRange
1d1280 FA_SetHLinePixelNum
1d1294 FA_ProjectionTestImage
1d3cc0 FA_SetProperty
4a6a22 FA_SetNormalizedRGB
4a6a36 FA_CopyVistaUniqueID
4a6a4b FA_EnableAF
4a6a57 FA_DisableAF
4a6a64 FA_ShowSWCK
4a6a70 FA_ClearReleaseModeForSR
4a6a89 FA_SetReleaseModeForSR
4a6aa0 FA_SetAccumulateTimeForSR
4a6aba FA_GetJpegSizeForLV
4a6ace FA_GetJpegBufForLV
4a6ae1 FA_DISP_COM_SetCamera
4a6af7 FA_GetPITimeData
4a6b08 FA_SetLvProjectionMode
4a6b1f FA_StopLvTestExposureImage
4a6b3a FA_StartLvTestExposureImage
4a6b56 FA_CaptureTestImage
4a6b6a FA_CreateTestImage
4a6b7d FA_DeleteTestImage
4a6b90 FA_StopLvTestImage
4a6ba3 FA_StartLvTestImage
4a6bb7 FA_WriteMem1File
4a6bc8 FA_WriteYuvFile
4a6bd8 FA_DISP_LightMeasure
4a6bed FA_Release
4a6bf8 FA_DISP_End100White
4a6c0c FA_DISP_Start100White
4a6c22 FA_EnableLinerEShutCurve
4a6c3b FA_DisableLinerEShutCurve
4a6c55 FA_CopyAVoltageBoardInf
4a6c6d FA_GetCheckFlagBoardInf
4a6c85 FA_GetCheckProgramVersionBoardInf
4a6ca7 FA_CopyVideoBoardInf
4a6cbc FA_CopySecurityBoardInf
4a6cd4 FA_GetCheckModelNoInf
4a6cea FA_GetCrawBuf
4a6cf8 FA_SetLvControlAEParam
4a6d0f FA_GetShootingParam
4a6d23 FA_GetIcuCheckSum
4a6d35 FA_EnableFixedPo
4a6d46 FA_DisableFixedPo
4a6d58 FA_SetFixedPo
4a6d66 FA_DecreaseGap
4a6d75 FA_IncreaseGap
4a6d84 FA_GetCalendar
4a6d93 FA_SetCalendar
4a6da2 FA_ResetCalendar
4a6db3 FA_RedForLarger
4a6dc3 FA_GreenForLarger
4a6dd5 FA_RedForSmaller
4a6de6 FA_GreenForSmaller
4a6df9 FA_DISP_EndColor
4a6e0a FA_DISP_StartColor
4a6e1d FA_DISP_SetBrightness
4a6e33 FA_ClearResult
4a6e42 FA_ShowResult
4a6e50 FA_StopLiveView
4a6e60 FA_StartLiveView
4a6e71 FA_DISP_StartMix
4a6e82 FA_DISP_End50Gray
4a6e94 FA_DISP_Start50Gray
4a75b0 FA_TestMonRead
4a75c8 FA_TestMonReadAndWrite
4a75e8 FA_TestMonCall
4a7628 FA_GetReverseAdjustSum2
4a7640 FA_ProjectionTestImageV
4a7658 FA_GetFileData
4a7667 FA_GetSecCheckData
4a767a FA_SetDetectDefThreshold
4a7693 FA_MovieEnd
4a769f FA_AdjustWhiteBalance
4a76b5 FA_HShadingGapCheckEitherSide
4a76d3 FA_SetObIntegMode
4a76e5 FA_SetProjectionMode
4a76fa FA_EnableColorTargetMode
4a7713 FA_EnableColorAdjustMode
4a772c FA_DetectDefTestImage
4a7742 FA_ObIntegTestImage
4a7756 FA_ProjectionTestImage
4a776d FA_YuvDevelopTestImage
4a7784 FA_DefectsTestImage
4a7798 FA_SubtractTestImage
4a77ad FA_MaxSelectTestImage
4a77c3 FA_SetHProjectionRange
4a77da FA_DeleteFile
4a77e8 FA_SetDarkLevelValue
4a77fd FA_SetShadingProductionValue
4a781a FA_GetFileSize
4a7829 FA_GetWbCoef
4a7836 FA_SetWbCoef
4a7843 FA_GetObInteg
4a7851 FA_SetDefaultSetting
4a7866 FA_MacSelfCheck
4a7876 FA_HShadingGapCheckAllChannel
4a7894 FA_HShadingGapCheckOnChannel
4a78b1 FA_GetObIntegParam
4a78c4 FA_UseDefaultDevelopParam
4a78de FA_UseAdjustDevelopParam
4a78f7 FA_SetChannelNum
4a7908 FA_SetHLinePixelNum
4a791c FA_SetCRawBitNum
4a792d FA_SetSavePropertyListNum
4a7947 FA_GetReverseAdjustSum
4a795e FA_CreateClrAdjustShootingInfo
4a797d FA_SetColor
4a7989 FA_GetPropertyAddress
4a799f FA_SecDifficult
4a79af FA_SetBayerComponent
4a79c4 FA_GetDetectDefCount
4a79d9 FA_MovieStart
4a79e7 FA_SavePropertyList
4a79fb FA_RegistSavePropertyList
4a7a15 FA_ReverseAdjust
4a7a26 FA_GetAfValYitgInLv
4a7a3a FA_GetAfValYpInLv
4a7a4c FA_GetAfValFepInLv
4a7a5f FA_GetAfValTepInLv
4a7a72 FA_GetAfValMmpInLv
4a7a85 FA_GetAfValFesInLv
4a7a98 FA_GetAfValTesInLv
4a7aab FA_SetObWindow
4a7aba FA_SetProjectionWindow
4a7ad1 FA_SaveWbFix
4a7ade FA_GetFreeSizeOfMemory
4a7af5 FA_GetTotalSizeOfMemory
4a7b0d FA_SyncProperty
4a7b1d FA_LoadProperty
4a7b2d FA_AddProperty
4a7b3c FA_DeleteProperty
4a7b4e FA_SaveProperty
4a7b5e FA_GetProperty
4a7b6d FA_SetProperty
